uid,text,gold_label,gold_str,pred_dynamic,pred_dynamic_str,correct_dynamic,pred_static,correct_static,pred_bert,correct_bert,pred_vader,correct_vader,noise_score,noise_group,alpha,token_length,emoji_density,repetition_score,code_mixing_ratio,symbol_density,p_vader,p_distilbert,p_final,confidence
25532,Aao sunau pyar ki ek kahani Jo pyar kare sala wo hai chutiya praani Bete sabka katega tu bhi kabtak bachega â€¦ https // t co / EOGmA9KkEp,1,negative,1,negative,1,1,1,1,1,2,0,0.0673,LOW,0.02,32,0.0,0.0,0.12,0.1562,"[0.0, 0.0, 1.0]","[0.0351, 0.8815, 0.0834]","[0.0344, 0.8638, 0.1017]",0.8638
26208,@ SushmaSwaraj ji ! We will miss you the most ! Aapne ministry chalayi bahut ache se aur sabka Dil bhi Jeet liye .. aa â€¦ https // t . co / 2jB7o4u9td,2,neutral,0,positive,0,0,0,0,0,2,1,0.2956,MODERATE,0.25,36,0.0,0.0,0.8,0.2778,"[0.0, 0.161, 0.839]","[0.9036, 0.0106, 0.0857]","[0.6777, 0.0482, 0.2741]",0.6777
33855,RT @ mnimalik Message is loud & clear . Jo kaam nahi karay ga woh ghar jaye ga .. Chahay kitna he bara naam kion na ho . Baten chahay jitni â€¦,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2662,MODERATE,0.25,34,0.0,0.0,0.75,0.2059,"[0.088, 0.0, 0.912]","[0.2856, 0.089, 0.6253]","[0.2362, 0.0668, 0.697]",0.697
8956,@ MaryamNSharif Ak number ki jhoti orat tery mu se ya sb acha nahi lagta abba chor chacha chor bhiya chor sara khand â€¦ https // t . co / vF8xD07utQ,1,negative,1,negative,1,1,1,1,1,2,0,0.1612,LOW,0.02,34,0.0,0.0,0.4,0.2059,"[0.048, 0.0, 0.952]","[0.0352, 0.8798, 0.085]","[0.0354, 0.8622, 0.1024]",0.8622
8747,@ Saman44125317 @ SBASIndiaTV @ shivangijoshi10 @ CharulMalik @ indiatvnews Mujhe separation se to prblm hai hi but usse â€¦ https // t . co / iBmva9YF90,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1882,LOW,0.02,34,0.0,0.0,0.4118,0.3235,"[0.0, 0.091, 0.909]","[0.0987, 0.1412, 0.7602]","[0.0967, 0.1401, 0.7631]",0.7631
14745,@ ZakirBinRehman Oh wow ! Poet Zakir . ðŸ‘ Good luck to the teams the cup is all they lack it seems .,0,positive,0,positive,1,0,1,0,1,2,0,0.148,LOW,0.02,25,0.0,0.0,0.3333,0.24,"[0.366, 0.084, 0.55]","[0.8705, 0.0126, 0.1168]","[0.8604, 0.0141, 0.1255]",0.8604
39874,@ merumair @ ayaz1795 @ RaeeAkram Ayaz sb ka chor leader jo aj kal non proven properties k case may andar hai us may â€¦ https // t . co / W3d65VfNHf,1,negative,2,neutral,0,1,1,1,1,2,0,0.2441,MODERATE,0.25,36,0.0,0.0,0.6471,0.25,"[0.0, 0.0, 1.0]","[0.0672, 0.4949, 0.4379]","[0.0504, 0.3711, 0.5784]",0.5784
36028,â€œ I survived 7th grade .â€ KidA is done with school and summer vacation can officially start . Woohoo ! This cute kid is â€¦ https // t . co / OQDEVFXAgV,0,positive,0,positive,1,0,1,0,1,2,0,0.2433,MODERATE,0.25,40,0.0,0.0,0.6111,0.3,"[0.301, 0.0, 0.699]","[0.849, 0.0125, 0.1384]","[0.712, 0.0094, 0.2786]",0.712
2554,@ Ammarzaheer Socha tha is summer mein World Cup daikhain gay to get our mind off football but wahan bhi patli halaat hai ðŸ˜‚ðŸ˜‚,2,neutral,2,neutral,1,2,1,2,1,2,1,0.3114,MODERATE,0.25,29,0.0,0.0,0.9231,0.1724,"[0.0, 0.0, 1.0]","[0.2755, 0.1345, 0.59]","[0.2066, 0.1009, 0.6925]",0.6925
13168,Aa gyi jihadi ... pakistan k khilaaf sunegi ni kuch ... abe ja reh pakistan m .. india tere tax k bhuke ni hai https // t . co / VvzJTt3l1B,1,negative,1,negative,1,1,1,1,1,2,0,0.2941,MODERATE,0.25,33,0.0,0.1818,0.6875,0.2121,"[0.0, 0.0, 1.0]","[0.0441, 0.8794, 0.0765]","[0.0331, 0.6596, 0.3073]",0.6596
38128,@ PMOIndia @ narendramodi Modi ji ko aap ka bahut bahut badhai Abhishek Verma ji ke liye Congress formation Modi ji b â€¦ https // t . co / Y2UzkHZyWd,0,positive,0,positive,1,0,1,0,1,2,0,0.2073,MODERATE,0.25,33,0.0,0.0,0.5294,0.2424,"[0.0, 0.0, 1.0]","[0.7591, 0.0305, 0.2104]","[0.5693, 0.0229, 0.4078]",0.5693
13785,@ ashutosh83B Bhai aaj tak tune kishi bhi scam par avaj nahi uthai par modi ji k kam kale gungan par avaj uthata hai â€¦ https // t . co / EfyUNrJRhO,2,neutral,1,negative,0,1,0,1,0,2,1,0.1675,LOW,0.02,36,0.0,0.0,0.4286,0.1944,"[0.0, 0.125, 0.875]","[0.0587, 0.728, 0.2133]","[0.0575, 0.7159, 0.2266]",0.7159
40071,@ RoomiTarik sirrr mubarak ho aapko . I â€™ ve missed the posts you used to write in the Liverpool Way group . Always insp â€¦ https // t . co / 9BVRywBQIo,0,positive,2,neutral,0,2,0,2,0,2,0,0.3389,MODERATE,0.25,38,0.0263,0.0789,0.8667,0.2632,"[0.0, 0.081, 0.919]","[0.4608, 0.0367, 0.5025]","[0.3456, 0.0478, 0.6066]",0.6066
5457,@ CosmicBlessing Itane Jute Marugina Bc Agar Pakkad Main Aaya Tu Itana Ganda Comment Karta Hain Tu Harami https // t co / 4ZMz5D2bRp,1,negative,1,negative,1,1,1,1,1,2,0,0.2034,MODERATE,0.25,25,0.0,0.0,0.5714,0.16,"[0.0, 0.0, 1.0]","[0.0288, 0.9093, 0.0619]","[0.0216, 0.6819, 0.2964]",0.6819
17508,@ aajtak @ syedasimwaqar @ chitraaum @ syedzafarBJP 2 mahine se nahi dikha tha news walo tumhe kon Hindu Muslim kar Rah â€¦ https // t . co / fKiVOhxrgu,1,negative,1,negative,1,1,1,1,1,2,0,0.1606,LOW,0.02,33,0.0,0.0,0.3333,0.303,"[0.0, 0.0, 1.0]","[0.0699, 0.7116, 0.2185]","[0.0685, 0.6974, 0.2341]",0.6974
10243,Apply for the role of - Assistant Project Officer ( Consultant ) - at Bachpan Bachao Andolan - India Candidates w / B â€¦ https // t . co / n7hwkam2Nb,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2306,MODERATE,0.25,34,0.0,0.0,0.5333,0.3529,"[0.0, 0.0, 1.0]","[0.1959, 0.0859, 0.7183]","[0.1469, 0.0644, 0.7887]",0.7887
31399,Congratulation ! Pm Narendra Damodar Das Modi ji .. Alpsankhyak samja ke liye apka ek kadam aage badhega to vishawas â€¦ https // t . co / kcQSD29eWZ,0,positive,0,positive,1,0,1,0,1,2,0,0.1447,LOW,0.02,32,0.0,0.0,0.3158,0.25,"[0.154, 0.0, 0.846]","[0.91, 0.0128, 0.0772]","[0.8948, 0.0126, 0.0926]",0.8948
4004,@ ashutosh83B @ derekobrienmp @ MamataOfficial @ SitaramYechury @ BJP4India @ KailashOnline Teri kahe jaal rahi kallu â€¦ https // t co / OA7fDyGGka,1,negative,1,negative,1,1,1,1,1,2,0,0.1112,LOW,0.02,29,0.0,0.0,0.1176,0.3793,"[0.0, 0.0, 1.0]","[0.0333, 0.8863, 0.0804]","[0.0327, 0.8686, 0.0987]",0.8686
28571,@ Rayyankhan0 @ Shaikh3030 @ WarWounded __ @ Twitter @ TwitterSupport @ IhteshamAfghan @ jack Are baat tum madrs wali krrhe â€¦ https // t . co / EgtGOdDOgF,2,neutral,1,negative,0,1,0,1,0,2,1,0.2024,MODERATE,0.25,34,0.0,0.0,0.4,0.4118,"[0.0, 0.0, 1.0]","[0.0322, 0.8664, 0.1014]","[0.0242, 0.6498, 0.326]",0.6498
14430,@ Jha __ Pooja Aur ye tu nahi teri jali hui % #& bol rahi hai .. Election result k baad lagi hui aag bujhegi nahi jaldi â€¦ https // t . co / 5NK7WXzDK6,1,negative,1,negative,1,1,1,1,1,2,0,0.1815,LOW,0.02,39,0.0,0.0,0.4,0.3077,"[0.0, 0.0, 1.0]","[0.0733, 0.6505, 0.2762]","[0.0718, 0.6375, 0.2907]",0.6375
34847,@ MainKalashnikov Tootny ka to pata nahi I think laceration ho jati hogi ðŸ˜…,2,neutral,2,neutral,1,1,0,1,0,2,1,0.2042,MODERATE,0.25,16,0.0,0.0,0.5556,0.1875,"[0.0, 0.0, 1.0]","[0.0796, 0.527, 0.3934]","[0.0597, 0.3953, 0.545]",0.545
34826,@ neeeessssuuuu Aalim aur baba ki zarurat nahe hai apko . App Sache dil se Allaha se dua karo Inshaallaha appki dua â€¦ https // t . co / uBohu6AYG6,0,positive,0,positive,1,0,1,0,1,2,0,0.1875,LOW,0.02,34,0.0,0.3529,0.1739,0.2353,"[0.0, 0.0, 1.0]","[0.7876, 0.0188, 0.1936]","[0.7719, 0.0184, 0.2097]",0.7719
10851,@ rssurjewala What a meanness of Soniya ! the proper etiquette says that she should have thanked all the people who t â€¦ https // t . co / 57nc31NrLe,1,negative,1,negative,1,1,1,1,1,2,0,0.1818,LOW,0.02,33,0.0,0.0,0.4444,0.2424,"[0.127, 0.0, 0.873]","[0.0905, 0.667, 0.2425]","[0.0912, 0.6537, 0.2551]",0.6537
11636,RT @ AshrafAriff Bro . Are you okay if your partner tipu you ? Like you partner keluar with other guy tpi dia inform you dia buat be â€¦ â€” No on â€¦,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2628,MODERATE,0.25,39,0.0,0.0,0.7222,0.2308,"[0.131, 0.065, 0.804]","[0.0662, 0.0678, 0.866]","[0.0824, 0.0671, 0.8505]",0.8505
35316,ðŸƒ NC A â€“ ë°¤ë°”ëžŒ ðŸƒ [ Thai Translate By N CHU ] â–¶ï¸ Wow â€¦ The meaning so meaningful This is true healing song I listen it m â€¦ https // t co / 0ZVWULF7OO,0,positive,0,positive,1,0,1,0,1,2,0,0.3153,MODERATE,0.25,58,0.0,0.0,0.8095,0.3621,"[0.277, 0.0, 0.723]","[0.5979, 0.0266, 0.3755]","[0.5177, 0.0199, 0.4624]",0.5177
11163,RT @ jotaughtyou A lot of girls are too immature for me ... I â€™ m not w / that drama ish .,2,neutral,1,negative,0,1,0,1,0,2,1,0.18,LOW,0.02,25,0.04,0.12,0.3333,0.2,"[0.0, 0.0, 1.0]","[0.0957, 0.5819, 0.3224]","[0.0938, 0.5703, 0.3359]",0.5703
9761,@ geonews _ urdu Na na ab jin kuttay k bachon ne jo harkat ki un ko saza dy kr baqi jo koi bahir hain un ko bolo insan â€¦ https // t co / VeSvj0xuYG,1,negative,1,negative,1,1,1,1,1,2,0,0.3017,MODERATE,0.25,40,0.0,0.0,0.8889,0.175,"[0.0, 0.0, 1.0]","[0.0568, 0.7846, 0.1586]","[0.0426, 0.5885, 0.369]",0.5885
38228,Very Very Congratulations ðŸ’ to Hon'ble prime minister Shri @ narendramodi Ji on taking oath as second time PM Best w â€¦ https // t co / 5VPDXMdcB1,0,positive,0,positive,1,0,1,0,1,2,0,0.236,MODERATE,0.25,33,0.0,0.0,0.625,0.2424,"[0.283, 0.0, 0.717]","[0.9042, 0.0115, 0.0843]","[0.7489, 0.0086, 0.2425]",0.7489
19078,@ aajtak Confirm karlo pehle thik se kahin baad me hawa udey ki yeh secularism ki summer classes de rahe the ..,1,negative,2,neutral,0,2,0,2,0,2,0,0.2028,MODERATE,0.25,22,0.0,0.0,0.6154,0.0909,"[0.0, 0.0, 1.0]","[0.1788, 0.2823, 0.5389]","[0.1341, 0.2117, 0.6542]",0.6542
14464,@ DrRPNishank Sir please rewrite NCERT history text books . There is nothing about great sacrifices of even netaji bh â€¦ https // t . co / qZB9ABtegk,2,neutral,2,neutral,1,0,0,0,0,2,1,0.2857,MODERATE,0.25,32,0.0,0.0,0.7857,0.25,"[0.086, 0.124, 0.79]","[0.485, 0.05, 0.465]","[0.3852, 0.0685, 0.5463]",0.5463
40614,Jun 10 - FREE Coworking Day @ INDIE DESK - DTLA Ã¢Â€Â¢ What we'll doPLEASE ONLY RSVP IF FOR SURE YOU ARE ATTENDING OUR â€¦ https // t co / aoyO65ciZP,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2844,MODERATE,0.25,40,0.0,0.0,0.7647,0.275,"[0.227, 0.0, 0.773]","[0.0819, 0.0462, 0.8719]","[0.1182, 0.0347, 0.8472]",0.8472
1,@ Shanyousaf6 Keh to aese Rahe ho Jaise Pakistan wale Ni karte . South Africa se Hara na Bharat to chain ap logon ne bhi Ni Lena ðŸ˜‚,1,negative,1,negative,1,1,1,1,1,2,0,0.2199,MODERATE,0.25,31,0.0,0.0,0.6471,0.129,"[0.0, 0.0, 1.0]","[0.0659, 0.7176, 0.2165]","[0.0494, 0.5382, 0.4123]",0.5382
31715,Is trailer ne toh kmaal kar diya !! Now eagerly waiting for main trailer # Article15ShockTrailer https // t co / mMG7sGrV25,0,positive,2,neutral,0,2,0,2,0,2,0,0.2712,MODERATE,0.25,26,0.0,0.0,0.75,0.2308,"[0.15, 0.0, 0.85]","[0.1855, 0.0181, 0.7964]","[0.1766, 0.0136, 0.8098]",0.8098
38801,RT @ PNRai1 @ AkhileshPSingh Tumhare malik ne stifa diya hai manjur nahi hua . Tum jante ho ki chor kaun hai . Lekin itna jhuth bola ki back â€¦,1,negative,1,negative,1,1,1,1,1,2,0,0.1182,LOW,0.02,33,0.0,0.0,0.2727,0.1818,"[0.0, 0.0, 1.0]","[0.0718, 0.6215, 0.3067]","[0.0704, 0.6091, 0.3205]",0.6091
26756,@ Payal _ Rohatgi Madam jo pehle sachche Hindu to ban jao Hindu Rashtra bad me bana lena bvz what u r doing is not Hinduism,1,negative,1,negative,1,1,1,1,1,2,0,0.1321,LOW,0.02,26,0.0,0.0,0.3889,0.0769,"[0.0, 0.262, 0.738]","[0.0748, 0.6199, 0.3052]","[0.0733, 0.6128, 0.3139]",0.6128
5384,@ Ibne _ Sena All the best . Good going . ðŸ‘,0,positive,0,positive,1,0,1,0,1,0,1,0.2357,MODERATE,0.25,14,0.0,0.0,0.5,0.4286,"[0.542, 0.0, 0.458]","[0.8846, 0.0148, 0.1006]","[0.799, 0.0111, 0.19]",0.799
31830,@ FormerAndhbhakt @ SirJadeja Iski gaand phle s fati pdi h Modi Ji k PM bnne k bd s hi or aj or fat k 10-12 ho gyi paidaysi chutiya,1,negative,1,negative,1,1,1,1,1,2,0,0.2251,MODERATE,0.25,30,0.0,0.0,0.7059,0.0667,"[0.0, 0.0, 1.0]","[0.0365, 0.8872, 0.0763]","[0.0274, 0.6654, 0.3072]",0.6654
35029,@ TajinderBagga @ sherryontopp Pakistan me gurudwara toda gaya without any problem since the majority is powerful n f â€¦ https // t . co / rEA11MfmxK,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2316,MODERATE,0.25,31,0.0,0.0,0.6,0.2581,"[0.219, 0.0, 0.781]","[0.2552, 0.1775, 0.5673]","[0.2461, 0.1331, 0.6207]",0.6207
41273,Dhan Dhan Satguru Tera Hi Aasra ... Gud Morning sOhNe Dr .@ Gurmeetramrahim ji .. bless all .. apna v khyaal rakhna sOhNe g â€¦ https // t . co / 6LfWDmwgmS,0,positive,0,positive,1,0,1,0,1,2,0,0.3391,MODERATE,0.25,36,0.0,0.0833,0.8571,0.3056,"[0.097, 0.0, 0.903]","[0.8988, 0.0172, 0.0839]","[0.6984, 0.0129, 0.2887]",0.6984
31085,@_ voice _ of _ india Tm bhi Kohli ke Aasre pr ghanta kuxh nhi ukhar skte ðŸ˜‚ðŸ˜‚,1,negative,2,neutral,0,2,0,2,0,2,0,0.1252,LOW,0.02,23,0.0,0.0,0.2143,0.3043,"[0.0, 0.0, 1.0]","[0.268, 0.0585, 0.6735]","[0.2627, 0.0573, 0.68]",0.68
368,Enrich wit ur follows so yours can be enriched as well when picked @ 1 _ F _ I _ R _ S _ T @ Khuda _ Aur _ Mhbt @ wilsonjeffery72 â€¦ https // t . co / sRs5X2TTfm,0,positive,2,neutral,0,2,0,2,0,2,0,0.2862,MODERATE,0.25,46,0.0,0.0,0.7222,0.3478,"[0.091, 0.0, 0.909]","[0.1308, 0.037, 0.8322]","[0.1208, 0.0278, 0.8514]",0.8514
29490,RT @ RayaMedia _ I like listening to my music same way I love my weed LOUD !,0,positive,0,positive,1,0,1,0,1,2,0,0.0762,LOW,0.02,18,0.0,0.0,0.1429,0.1667,"[0.389, 0.0, 0.611]","[0.6225, 0.0169, 0.3605]","[0.6179, 0.0166, 0.3655]",0.6179
43902,@ MohammadS _ Ali9 @ SanjayAzadSln Ha be mc Gandhi deshdrohi tha mc sala congress aur Muslim ka supporter Gandhi mahatma Gandhi . Mc Gandhi mc,1,negative,1,negative,1,1,1,1,1,2,0,0.1296,LOW,0.02,27,0.0,0.0,0.3333,0.1481,"[0.184, 0.0, 0.816]","[0.083, 0.6937, 0.2234]","[0.085, 0.6798, 0.2352]",0.6798
17256,Many Many Happy Returns of The Day Dstw ðŸ‘ðŸ‘ðŸ‘ Wish You All The Best ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ Happy Download Day hajaro Baudir crush ðŸŽ‚ðŸŽ‚ðŸŽ‚ðŸŽ‚ðŸŽ‚ B â€¦ https // t co / Pezc2NyR7g,0,positive,0,positive,1,0,1,0,1,2,0,0.27,MODERATE,0.25,60,0.0,0.0,0.6667,0.35,"[0.3774, 0.042, 0.5806]","[0.8632, 0.0116, 0.1252]","[0.7417, 0.0192, 0.239]",0.7417
26077,@ Sai _ Pallavi92 Hey there's someone very important in my life we've kinda fought Her name is Nikhita Can you plz say Hi to her !!,0,positive,2,neutral,0,2,0,2,0,2,0,0.1381,LOW,0.02,29,0.0,0.0,0.3684,0.1379,"[0.142, 0.072, 0.786]","[0.3969, 0.0252, 0.5779]","[0.3918, 0.0261, 0.582]",0.582
23321,@ DHONIism To Osm Sir MS dhoni is the player in the world cup now,0,positive,2,neutral,0,2,0,2,0,2,0,0.0883,LOW,0.02,15,0.0,0.0,0.25,0.0667,"[0.0, 0.0, 1.0]","[0.4149, 0.0361, 0.5491]","[0.4066, 0.0354, 0.5581]",0.5581
11655,@ seoulful _ seeJ Yeaaa Thanks u so much ðŸ’œðŸ’œðŸ˜­,0,positive,2,neutral,0,2,0,2,0,2,0,0.2933,MODERATE,0.25,16,0.0,0.1875,0.5714,0.375,"[0.326, 0.0, 0.674]","[0.4825, 0.0199, 0.4977]","[0.4433, 0.0149, 0.5417]",0.5417
8126,RT @ Sidrama50060291 Mery Dada abu khud is hijrat may thy wo sirf 9sal k thy Wo btaty h k un ki phupho ko sikho ny shaheed kr dia tha ðŸ’” Un â€¦,2,neutral,0,positive,0,0,0,0,0,2,1,0.1822,LOW,0.02,39,0.0,0.0,0.5217,0.1282,"[0.0, 0.0, 1.0]","[0.5319, 0.0839, 0.3842]","[0.5213, 0.0822, 0.3965]",0.5213
11147,@ SunilTitota @ Shehla _ Rashid Aur kitna gir ke bol sakte ho ? Jisase tumhari atma ko santi mile Aise Hindu hone pe s â€¦ https // t co / aFPDlGf34d,1,negative,1,negative,1,1,1,1,1,2,0,0.17,LOW,0.02,36,0.0,0.0,0.4,0.25,"[0.0, 0.0, 1.0]","[0.0566, 0.7126, 0.2308]","[0.0554, 0.6983, 0.2462]",0.6983
4726,RT @ officialjunaid4 Jab leadership pakki or sachi ho to dunia jhuk k sunti hai . Proud of you . # PrimeMinisterImranKhan https // t . co / ItN0stA â€¦,0,positive,0,positive,1,0,1,0,1,2,0,0.216,MODERATE,0.25,35,0.0,0.0,0.5294,0.2857,"[0.129, 0.0, 0.871]","[0.8991, 0.0175, 0.0834]","[0.7066, 0.0131, 0.2803]",0.7066
34516,@ anjanaomkashyap Bujurg log keh gaye hain kutilmauka parastlobhibeizzati karne waladarpoksatya ko chupane wala â€¦ https // t . co / sgZ7DyvKXE,2,neutral,1,negative,0,1,0,1,0,2,1,0.1068,LOW,0.02,26,0.0,0.0,0.1765,0.2692,"[0.0, 0.0, 1.0]","[0.0315, 0.8829, 0.0856]","[0.0309, 0.8652, 0.1039]",0.8652
13617,@ being _ farha @ PinkvillaTelly Kiski kitni aukaat hai yeh uska social media account ke follower nahi . Uspar mile comm â€¦ https // t . co / eiO8M63P3M,1,negative,2,neutral,0,2,0,2,0,2,0,0.1755,LOW,0.02,34,0.0,0.0,0.3889,0.2941,"[0.0, 0.0, 1.0]","[0.0869, 0.2859, 0.6272]","[0.0852, 0.2802, 0.6347]",0.6347
10562,@ ZawarAliBuTT2 @ BBhuttoZardari Laanat is buddhe par or iss tv cahnnel or iss anchor pe jis ne ye sabb sunn kar ghaliz muskurahat dee,1,negative,1,negative,1,1,1,1,1,2,0,0.1566,LOW,0.02,26,0.0,0.0,0.4706,0.0769,"[0.0, 0.0, 1.0]","[0.1161, 0.5584, 0.3255]","[0.1138, 0.5473, 0.339]",0.5473
15355,@ pramodtiwari700 Congress update nahi hai last ke kuch years me INC president ne kafi kosis ki but sufficient nahi â€¦ https // t co / yiX28nEhPB,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1875,LOW,0.02,32,0.0,0.0,0.5,0.1875,"[0.0, 0.0, 1.0]","[0.1035, 0.1722, 0.7243]","[0.1015, 0.1687, 0.7298]",0.7298
29784,Ohh ðŸ’¥ðŸ’¥ yes ðŸ˜ŽðŸ˜ŽðŸ’ª Abhi I got one & only biggest superstar sultan of bollywood baap of indian boxoffice .â€¦ https // t . co / VxeFdiMWqn,0,positive,0,positive,1,0,1,0,1,2,0,0.2655,MODERATE,0.25,42,0.0,0.0,0.6471,0.3571,"[0.114, 0.0, 0.886]","[0.8765, 0.014, 0.1095]","[0.6859, 0.0105, 0.3036]",0.6859
36084,@ aimim _ national @ asadowaisi Aaj ek bat saf bta tu tere ko dikt kya h sale tu Hindu ke bare m kuch bhi bolta sale tu â€¦ https // t . co / Upwhgke9eg,1,negative,1,negative,1,1,1,1,1,2,0,0.2503,MODERATE,0.25,40,0.0,0.0,0.6842,0.225,"[0.0, 0.0, 1.0]","[0.0289, 0.9141, 0.057]","[0.0217, 0.6856, 0.2928]",0.6856
19485,@ RajTiwa56444261 @ AakankshaCharu Isko likh k Sale ne gaalian bhi nikali voters ko Modi ji ko biggest liar bola .. ye bahut sadial insan hai,1,negative,1,negative,1,1,1,1,1,2,0,0.207,MODERATE,0.25,28,0.0,0.1071,0.5294,0.1071,"[0.0, 0.13, 0.87]","[0.0435, 0.8511, 0.1054]","[0.0326, 0.6708, 0.2965]",0.6708
15563,Is Elon Musk trying to fuck a woman that â€™ s half cat ? Lmk https // t . co / W2SIvUQHnw,1,negative,1,negative,1,1,1,1,1,2,0,0.1965,LOW,0.02,25,0.04,0.0,0.4615,0.24,"[0.0, 0.189, 0.811]","[0.0588, 0.751, 0.1902]","[0.0576, 0.7398, 0.2026]",0.7398
11921,@ narendramodi Jai Jawan Jai Kisan 1st & 2nd cabinet decision but what will be 3rd one Jai Vigyan ? Thanks to Modi j â€¦ https // t . co / I9ggY26jrn,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2577,MODERATE,0.25,35,0.0,0.0,0.6875,0.2571,"[0.138, 0.0, 0.862]","[0.236, 0.0283, 0.7357]","[0.2115, 0.0212, 0.7673]",0.7673
11305,@ DarpanPatelPhD @ ACSMNews Thanks Darpan . Likewise on your talk . Love your transgenic approach !,0,positive,0,positive,1,0,1,0,1,2,0,0.1922,LOW,0.02,17,0.0,0.0,0.4444,0.2941,"[0.425, 0.0, 0.575]","[0.9125, 0.0117, 0.0758]","[0.9027, 0.0115, 0.0858]",0.9027
38407,@ bilaldarone9 @ Matiullahjan919 Oye begairta gadaar nahi corruption ka ilzaam hai ... her baat main bak bak ager kuc â€¦ https // t . co / bP9FMXf8sN,1,negative,1,negative,1,1,1,1,1,2,0,0.172,LOW,0.02,33,0.0,0.0909,0.3158,0.2727,"[0.0, 0.0, 1.0]","[0.0994, 0.5151, 0.3855]","[0.0974, 0.5048, 0.3977]",0.5048
21304,@ fear _ the _ fairy Only a little lol But I have to get all of that stuff for the Platinum for each one so I'll probab â€¦ https // t . co / 4K1OvXGORQ,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1337,LOW,0.02,39,0.0,0.0,0.2917,0.2308,"[0.059, 0.07, 0.871]","[0.1298, 0.0327, 0.8375]","[0.1284, 0.0335, 0.8381]",0.8381
10882,@ SoulBJP @ pankhuripathak mujhe pta hai teri maa bhan bjp ke neta ko roj khus krti hai aur tu Dallal bn kr bhar ch â€¦ https // t . co / fKNdtw5A33,1,negative,1,negative,1,1,1,1,1,2,0,0.1032,LOW,0.02,37,0.0,0.0,0.2,0.2162,"[0.0, 0.0, 1.0]","[0.0342, 0.8936, 0.0722]","[0.0335, 0.8757, 0.0907]",0.8757
25634,RT @ TheBlossom _ Gal Thankyou So Much Papa Ji ðŸ‘¨â€ðŸ‘§ðŸ˜˜ Keep Blessing All Bless Me To Keep Moving ahead In Your Love With a Consistent Speed ðŸ™ # A â€¦,0,positive,0,positive,1,0,1,0,1,2,0,0.1837,LOW,0.02,46,0.0217,0.0,0.3913,0.3043,"[0.307, 0.0, 0.693]","[0.915, 0.0114, 0.0736]","[0.9029, 0.0112, 0.0859]",0.9029
24274,Heard positive reviews about # IndiasMostWanted from critics and the aam junta so dekhne jane ka plan karna padega ðŸ˜Š https // t . co / OHeGrMiYbl,0,positive,2,neutral,0,2,0,2,0,2,0,0.3169,MODERATE,0.25,30,0.0,0.0,0.9231,0.2,"[0.134, 0.082, 0.784]","[0.2262, 0.0747, 0.6991]","[0.2031, 0.0766, 0.7203]",0.7203
14344,RT @ NI _ passionate Loved the words by Mr . Fayyaz Bukhari proud father of Capt . Asfandyar Shaheed meei darkhwaast hai k is mulk ki fauj s â€¦,0,positive,0,positive,1,0,1,0,1,2,0,0.2437,MODERATE,0.25,32,0.0,0.0,0.6875,0.1875,"[0.331, 0.0, 0.669]","[0.8358, 0.024, 0.1402]","[0.7096, 0.018, 0.2724]",0.7096
10947,@ Shivy _ 98 @ pihugreat Did not k baad past tense use nhi hota .. Did not even married 3 times - ye wrong Hai Did no â€¦ https // t . co / FYRZLE12LB,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2844,MODERATE,0.25,40,0.0,0.0,0.7647,0.275,"[0.065, 0.169, 0.766]","[0.0778, 0.3141, 0.6081]","[0.0746, 0.2778, 0.6476]",0.6476
493,@ PMOIndia namaskar mere priya honourable pradhan mantri Narendra modi ji congratulations Lord jagannath ka ashirv â€¦ https // t co / BmNmg5LDQ1,0,positive,0,positive,1,0,1,0,1,2,0,0.1844,LOW,0.02,27,0.0,0.0,0.4667,0.2222,"[0.28, 0.0, 0.72]","[0.9056, 0.0112, 0.0832]","[0.8931, 0.011, 0.0959]",0.8931
7369,@ says _ malik1 No tension mghy wesy b folowers ki fkr nhi hoti me jnteract zada krta hn,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1271,LOW,0.02,20,0.0,0.0,0.3571,0.1,"[0.0, 0.243, 0.757]","[0.0935, 0.1487, 0.7578]","[0.0917, 0.1506, 0.7578]",0.7578
24619,@ officiallArth _ @ omi _ anpat619 Bc kuchh galat likh diya to jindgi bhar rota rahega ðŸ˜‚ðŸ˜‚ðŸ˜‚,1,negative,1,negative,1,1,1,1,1,2,0,0.1341,LOW,0.02,27,0.0,0.0,0.2,0.3704,"[0.0, 0.0, 1.0]","[0.0629, 0.7197, 0.2174]","[0.0617, 0.7053, 0.233]",0.7053
